Archivo,VCE [V],IC [mA],K,|Δ|,Estable,GTmax [dB],rho_in,rho_out,Zin,Zout,Rin(s),Xin(s),Rout(s),Xout(s),Rin(p),Xin(p),Rout(p),Zo(Qwin),Zo(Qwout),Xout(p),W/H (Qwin),Zo'(Qwin),er'(Qwin),Weff (Qwin),W/H (Qwout),Zo'(Qwout),er'(Qwout),Weff (Qwout),W (Qwin),W (Qwout),lambda,lambda/4,lambda_p,lambda_p/4,Cin,Cout
BFP450_w_noise_VCE_3.0V_IC_20mA.s2p,3.0,20.0,1.1,0.51,True,13.96,(-0.7818+0.2528j),(-0.4149-0.3518j),(5.0166+7.8069j),(16.5616-16.5519j),5.0166,7.8069,16.5616,-16.5519,17.1658,11.0305,33.1038,29.2966,28.7764,50.0294,4.2406,29.3788,3.5687,7.4736,4.3444,28.8547,3.5765,7.6396,6.785,6.951,136.3636,34.0909,72.1844,18.0461,6.558465704261958e-12,1.4460128634535198e-12
BFP450_w_noise_VCE_1.0V_IC_20mA.s2p,1.0,20.0,1.105,0.572,True,12.81,(-0.7769+0.2633j),(-0.5092-0.2378j),(5.0678+8.1602j),(14.6532-10.1878j),5.0678,8.1602,14.6532,-10.1878,18.2074,11.3075,21.7364,30.1723,27.0677,71.9155,4.0743,30.261,3.5559,7.2074,4.7144,27.1334,3.6029,8.2316,6.5189,7.543,136.3636,34.0909,72.3142,18.0786,6.3978028698528865e-12,1.0059466450328722e-12
BFP450_w_noise_VCE_2.0V_IC_20mA.s2p,2.0,20.0,1.102,0.533,True,13.58,(-0.7793+0.2549j),(-0.4501-0.3112j),(5.0721+7.8882j),(15.9241-14.1479j),5.0721,7.8882,15.9241,-14.1479,17.3399,11.1496,28.4939,29.4448,28.2171,56.2772,4.2118,29.5281,3.5665,7.4274,4.4604,28.2912,3.5849,7.8252,6.7389,7.1366,136.3636,34.0909,72.2067,18.0517,6.488408189608732e-12,1.285478949749837e-12
BFP450_w_noise_VCE_4.0V_IC_20mA.s2p,4.0,20.0,1.101,0.494,True,14.2,(-0.7823+0.2513j),(-0.3876-0.3751j),(5.0129+7.7563j),(17.1584-18.1525j),5.0129,7.7563,17.1584,-18.1525,17.014,10.9961,36.3626,29.1667,29.2903,47.2619,4.2662,29.2479,3.5706,7.5144,4.2419,29.3724,3.5688,7.4755,6.8259,6.787,136.3636,34.0909,72.1652,18.0413,6.5789830895373374e-12,1.5306865773670022e-12
BFP450_w_noise_VCE_2.5V_IC_20mA.s2p,2.5,20.0,1.103,0.52,True,13.78,(-0.7797+0.2533j),(-0.4295-0.3319j),(5.0735+7.8387j),(16.3745-15.4109j),5.0735,7.8387,16.3745,-15.4109,17.1845,11.1225,30.8785,29.3125,28.6134,53.1265,4.2375,29.3948,3.5684,7.4686,4.3777,28.6905,3.5789,7.6929,6.78,7.0043,136.3636,34.0909,72.1875,18.0469,6.504217212934279e-12,1.3617150753552658e-12
BFP450_w_noise_VCE_1.0V_IC_25mA.s2p,1.0,25.0,1.11,0.602,True,12.85,(-0.7546+0.2715j),(-0.4835-0.2018j),(5.6615+8.6118j),(16.1832-9.0049j),5.6615,8.6118,16.1832,-9.0049,18.761,12.3337,21.1938,30.6276,28.4457,89.8575,3.9917,30.7197,3.5493,7.0752,4.4124,28.5215,3.5815,7.7484,6.3867,7.0598,136.3636,34.0909,72.3814,18.0954,5.865486913972411e-12,8.050875658777678e-13
BFP450_w_noise_VCE_3.0V_IC_25mA.s2p,3.0,25.0,1.103,0.543,True,14.04,(-0.7624+0.2606j),(-0.3904-0.3193j),(5.5267+8.2099j),(18.3207-15.6882j),5.5267,8.2099,18.3207,-15.6882,17.7225,11.9303,31.7547,29.7678,30.2661,58.3902,4.1499,29.8535,3.5617,7.3283,4.057,30.3555,3.5545,7.1798,6.6398,6.4912,136.3636,34.0909,72.2553,18.0638,6.063816999644729e-12,1.2389605781597172e-12
BFP450_w_noise_VCE_2.0V_IC_25mA.s2p,2.0,25.0,1.109,0.564,True,13.62,(-0.7562+0.262j),(-0.4243-0.2722j),(5.7015+8.3091j),(17.7372-12.9446j),5.7015,8.3091,17.7372,-12.9446,17.8108,12.2213,27.1842,29.8419,29.7802,68.512,4.1358,29.9281,3.5607,7.3059,4.1475,29.866,3.5616,7.3246,6.6173,6.636,136.3636,34.0909,72.2655,18.0664,5.919432134949762e-12,1.0559194878395246e-12
BFP450_w_noise_VCE_4.0V_IC_25mA.s2p,4.0,25.0,1.106,0.526,True,14.25,(-0.7611+0.2581j),(-0.3633-0.3378j),(5.5875+8.1459j),(19.1095-17.1252j),5.5875,8.1459,19.1095,-17.1252,17.4632,11.9785,34.4564,29.5493,30.9108,55.7937,4.1916,29.6334,3.565,7.3951,3.9416,31.0051,3.5453,6.995,6.7066,6.3066,136.3636,34.0909,72.2219,18.0555,6.039416951276163e-12,1.2966187213047623e-12
BFP450_w_noise_VCE_2.5V_IC_25mA.s2p,2.5,25.0,1.105,0.552,True,13.86,(-0.7601+0.261j),(-0.4059-0.2993j),(5.5916+8.2423j),(18.0455-14.4867j),5.5916,8.2423,18.0455,-14.4867,17.7412,12.0357,29.6752,29.7835,30.0379,62.283,4.1469,29.8693,3.5615,7.3236,4.0991,30.1256,3.5578,7.2472,6.635,6.5586,136.3636,34.0909,72.2574,18.0643,6.0107144537385875e-12,1.1615233041257089e-12
BFP450_w_noise_VCE_3.0V_IC_30mA.s2p,3.0,30.0,1.107,0.564,True,14.06,(-0.7452+0.2645j),(-0.3725-0.2883j),(6.0141+8.4893j),(19.7779-14.6583j),6.0141,8.4893,19.7779,-14.6583,17.9973,12.7499,30.6418,29.9978,31.4467,67.4631,4.1066,30.0852,3.5584,7.2591,3.8493,31.545,3.5378,6.8474,6.5706,6.1589,136.3636,34.0909,72.2888,18.0722,5.674017517852024e-12,1.0723366692438017e-12
BFP450_w_noise_VCE_4.0V_IC_30mA.s2p,4.0,30.0,1.108,0.549,True,14.29,(-0.7455+0.2635j),(-0.3468-0.3103j),(6.0122+8.4569j),(20.5065-16.2449j),6.0122,8.4569,20.5065,-16.2449,17.9079,12.7311,33.3754,29.9231,32.0207,63.1167,4.1206,30.01,3.5595,7.2815,3.754,32.1233,3.5299,6.695,6.593,6.0064,136.3636,34.0909,72.2777,18.0694,5.68239633267051e-12,1.1461808990467107e-12
BFP450_w_noise_VCE_1.0V_IC_30mA.s2p,1.0,30.0,1.11,0.623,True,12.9,(-0.7397+0.2771j),(-0.4662-0.1784j),(6.0579+8.9275j),(17.2068-8.1769j),6.0579,8.9275,17.2068,-8.1769,19.2143,13.0382,21.0926,30.9954,29.3316,105.2163,3.9268,31.0903,3.5441,6.9714,4.2338,29.414,3.5682,7.4626,6.2829,6.7741,136.3636,34.0909,72.4345,18.1086,5.548553937726183e-12,6.875660515610367e-13
BFP450_w_noise_VCE_2.0V_IC_30mA.s2p,2.0,30.0,1.109,0.586,True,13.67,(-0.7417+0.2669j),(-0.4069-0.2486j),(6.0981+8.5961j),(18.9253-12.1809j),6.0981,8.5961,18.9253,-12.1809,18.2155,12.9221,26.7653,30.179,30.7614,77.6842,4.073,30.2678,3.5558,7.2054,3.9679,30.8545,3.5474,7.0372,6.5168,6.3486,136.3636,34.0909,72.3153,18.0788,5.598405518519554e-12,9.312467136285308e-13
BFP450_w_noise_VCE_2.5V_IC_30mA.s2p,2.5,30.0,1.108,0.574,True,13.89,(-0.7437+0.2652j),(-0.3883-0.2705j),(6.0515+8.5262j),(19.3944-13.5231j),6.0515,8.5262,19.3944,-13.5231,18.0644,12.8213,28.8236,30.0536,31.1403,71.7083,4.0962,30.1414,3.5576,7.2425,3.9016,31.2363,3.5421,6.9312,6.5539,6.2426,136.3636,34.0909,72.297,18.0742,5.642419719596415e-12,1.0088533119717177e-12
BFP450_w_noise_VCE_2.5V_IC_40mA.s2p,2.5,40.0,1.108,0.602,True,13.96,(-0.7229+0.274j),(-0.3644-0.2352j),(6.6085+9.0039j),(21.1787-12.2722j),6.6085,9.0039,21.1787,-12.2722,18.8761,13.8543,28.2899,30.7214,32.5413,86.2874,3.975,30.8142,3.548,7.0485,3.6707,32.6478,3.5228,6.5616,6.36,5.8731,136.3636,34.0909,72.3947,18.0987,5.221711378478993e-12,8.383976797407445e-13
BFP450_w_noise_VCE_2.0V_IC_40mA.s2p,2.0,40.0,1.11,0.613,True,13.74,(-0.7201+0.2759j),(-0.3828-0.2124j),(6.6776+9.0902j),(20.6495-10.8508j),6.6776,9.0902,20.6495,-10.8508,19.0521,13.9955,26.3513,30.8643,32.1321,95.1517,3.9497,30.9582,3.546,7.0081,3.736,32.2355,3.5283,6.6661,6.3195,5.9776,136.3636,34.0909,72.4151,18.1038,5.169029756054555e-12,7.602928371312495e-13
BFP450_w_noise_VCE_4.0V_IC_40mA.s2p,4.0,40.0,1.107,0.579,True,14.36,(-0.725+0.2737j),(-0.3221-0.2746j),(6.5473+8.9709j),(22.5098-15.0621j),6.5473,8.9709,22.5098,-15.0621,18.8389,13.7494,32.5884,30.6912,33.5483,74.7232,3.9803,30.7838,3.5484,7.0571,3.517,33.6623,3.5093,6.3157,6.3685,5.6272,136.3636,34.0909,72.3906,18.0977,5.261550027700229e-12,9.681485261720794e-13
BFP450_w_noise_VCE_3.0V_IC_40mA.s2p,3.0,40.0,1.107,0.593,True,14.13,(-0.7237+0.2743j),(-0.3485-0.252j),(6.5825+9.0036j),(21.652-13.3897j),6.5825,9.0036,21.652,-13.3897,18.8977,13.816,29.9323,30.739,32.9029,80.8533,3.9718,30.832,3.5477,7.0435,3.6144,33.0121,3.5179,6.4715,6.3549,5.783,136.3636,34.0909,72.3978,18.0994,5.236186736454944e-12,8.947458662894589e-13
BFP450_w_noise_VCE_1.0V_IC_40mA.s2p,1.0,40.0,1.111,0.65,True,12.94,(-0.7182+0.2858j),(-0.4423-0.1417j),(6.6337+9.4217j),(18.6695-6.7466j),6.6337,9.4217,18.6695,-6.7466,20.0151,14.0924,21.1075,31.6347,30.5528,138.3621,3.8177,31.7344,3.5352,6.7969,4.0051,30.6444,3.5504,7.0967,6.1083,6.4082,136.3636,34.0909,72.5256,18.1314,5.133487266247163e-12,5.228538447368284e-13
BFP450_w_noise_VCE_1.0V_IC_50mA.s2p,1.0,50.0,1.108,0.668,True,12.96,(-0.7056+0.2939j),(-0.4265-0.1203j),(6.9395+9.8129j),(19.6062-5.8704j),6.9395,9.8129,19.6062,-5.8704,20.8156,14.7204,21.3639,32.2611,31.3099,166.992,3.7152,32.3655,3.5266,6.6329,3.8725,31.4071,3.5397,6.8846,5.9443,6.196,136.3636,34.0909,72.614,18.1535,4.9144830270143144e-12,4.332133033370552e-13
BFP450_w_noise_VCE_4.0V_IC_50mA.s2p,4.0,50.0,1.106,0.597,True,14.4,(-0.7127+0.2783j),(-0.3072-0.2514j),(6.8867+9.2436j),(23.7707-14.1853j),6.8867,9.2436,23.7707,-14.1853,19.2938,14.3744,32.2359,31.0595,34.4751,83.7862,3.9156,31.1549,3.5432,6.9536,3.3838,34.5959,3.4973,6.1026,6.265,5.4141,136.3636,34.0909,72.4437,18.1109,5.0327774342484916e-12,8.634256709441594e-13
BFP450_w_noise_VCE_3.0V_IC_50mA.s2p,3.0,50.0,1.107,0.61,True,14.17,(-0.711+0.2792j),(-0.3333-0.2287j),(6.9315+9.2887j),(22.8565-12.4985j),6.9315,9.2887,22.8565,-12.4985,19.379,14.4612,29.691,31.128,33.8057,91.437,3.9038,31.2239,3.5423,6.9346,3.4792,33.9216,3.506,6.2553,6.2461,5.5667,136.3636,34.0909,72.4529,18.1132,5.002569354608298e-12,7.911803312757585e-13
BFP450_w_noise_VCE_2.0V_IC_50mA.s2p,2.0,50.0,1.109,0.63,True,13.77,(-0.7062+0.2825j),(-0.3666-0.1884j),(7.045+9.4455j),(21.8117-9.9006j),7.045,9.4455,21.8117,-9.9006,19.7089,14.7001,26.3057,31.3918,33.024,110.1534,3.8586,31.4897,3.5386,6.8623,3.5958,33.1341,3.5163,6.4418,6.1738,5.7533,136.3636,34.0909,72.4908,18.1227,4.921269647884131e-12,6.567491875045301e-13
BFP450_w_noise_VCE_2.5V_IC_50mA.s2p,2.5,50.0,1.108,0.62,True,13.99,(-0.7081+0.2813j),(-0.3478-0.2106j),(6.9986+9.3881j),(22.4271-11.3164j),6.9986,9.3881,22.4271,-11.3164,19.592,14.6054,28.1372,31.2986,33.4866,99.0909,3.8745,31.3958,3.5399,6.8877,3.5261,33.6001,3.5102,6.3304,6.1992,5.6418,136.3636,34.0909,72.4775,18.1194,4.953178683970417e-12,7.300686132718698e-13
BFP450_w_noise_VCE_2.0V_IC_60mA.s2p,2.0,60.0,1.108,0.641,True,13.79,(-0.6975+0.2879j),(-0.3548-0.1734j),(7.2623+9.7134j),(22.6192-9.2957j),7.2623,9.7134,22.6192,-9.2957,20.2541,15.1431,26.4394,31.823,33.6297,121.6645,3.7864,31.9241,3.5326,6.7469,3.505,33.7443,3.5083,6.2965,6.0582,5.608,136.3636,34.0909,72.5523,18.1381,4.777301606068871e-12,5.946118707664234e-13
BFP450_w_noise_VCE_3.0V_IC_60mA.s2p,3.0,60.0,1.106,0.622,True,14.18,(-0.7005+0.2865j),(-0.3208-0.212j),(7.1848+9.6332j),(23.809-11.8484j),7.1848,9.6332,23.809,-11.8484,20.1008,14.9919,29.7053,31.7023,34.5029,100.4735,3.8064,31.8025,3.5342,6.7789,3.3799,34.6239,3.4969,6.0964,6.0902,5.4078,136.3636,34.0909,72.5359,18.134,4.82548282411579e-12,7.200222541352846e-13
BFP450_w_noise_VCE_4.0V_IC_60mA.s2p,4.0,60.0,1.105,0.61,True,14.42,(-0.7025+0.2862j),(-0.2931-0.2346j),(7.1234+9.6016j),(24.8678-13.5803j),7.1234,9.6016,24.8678,-13.5803,20.0654,14.8864,32.284,31.6744,35.2617,91.5582,3.8111,31.7744,3.5346,6.7863,3.2765,35.3883,3.4873,5.9309,6.0978,5.2424,136.3636,34.0909,72.5318,18.1329,4.859681047859894e-12,7.901330077574867e-13
BFP450_w_noise_VCE_1.0V_IC_60mA.s2p,1.0,60.0,1.107,0.678,True,12.95,(-0.6964+0.2992j),(-0.4177-0.1034j),(7.1704+10.0852j),(20.1659-5.118j),7.1704,10.0852,20.1659,-5.118,21.3553,15.1832,21.4648,32.6767,31.7537,197.0101,3.6494,32.7842,3.5209,6.5276,3.7979,31.8543,3.5335,6.7652,5.839,6.0766,136.3636,34.0909,72.6728,18.1682,4.764684384771427e-12,3.6720531562017134e-13
BFP450_w_noise_VCE_2.5V_IC_60mA.s2p,2.5,60.0,1.107,0.631,True,14.02,(-0.6992+0.2864j),(-0.3365-0.195j),(7.2267+9.6469j),(23.2655-10.689j),7.2267,9.6469,23.2655,-10.689,20.1043,15.0606,28.1764,31.7051,34.1068,108.8291,3.806,31.8053,3.5342,6.7781,3.4358,34.2249,3.502,6.1859,6.0896,5.4973,136.3636,34.0909,72.5359,18.134,4.803471040387602e-12,6.647409190268184e-13
BFP450_w_noise_VCE_1.0V_IC_70mA.s2p,1.0,70.0,1.106,0.686,True,12.93,(-0.6909+0.3053j),(-0.4093-0.0923j),(7.2732+10.3413j),(20.6531-4.6287j),7.2732,10.3413,20.6531,-4.6287,21.9768,15.4567,21.6905,33.1488,32.1349,223.0976,3.5768,33.2598,3.5146,6.4114,3.7355,32.2383,3.5283,6.6654,5.7229,5.9768,136.3636,34.0909,72.7379,18.1845,4.6803752386254196e-12,3.2426684980412843e-13
BFP450_w_noise_VCE_2.0V_IC_70mA.s2p,2.0,70.0,1.108,0.649,True,13.8,(-0.6891+0.2939j),(-0.344-0.1598j),(7.4645+9.9993j),(23.366-8.7236j),7.4645,9.9993,23.366,-8.7236,20.8594,15.5716,26.6229,32.295,34.1804,133.924,3.7098,32.3996,3.5261,6.6242,3.4253,34.2991,3.5011,6.1691,5.9357,5.4805,136.3636,34.0909,72.6192,18.1548,4.645839602279889e-12,5.401806692666102e-13
BFP450_w_noise_VCE_2.5V_IC_70mA.s2p,2.5,70.0,1.106,0.638,True,14.03,(-0.6925+0.291j),(-0.3265-0.1836j),(7.3882+9.8684j),(23.9697-10.2404j),7.3882,9.8684,23.9697,-10.2404,20.5694,15.3997,28.3446,32.0698,34.6191,117.0347,3.7461,32.1727,3.5292,6.6822,3.3638,34.741,3.4955,6.0706,5.9938,5.3821,136.3636,34.0909,72.5873,18.1468,4.697699042894441e-12,6.18134245235486e-13
BFP450_w_noise_VCE_3.0V_IC_70mA.s2p,3.0,70.0,1.104,0.631,True,14.21,(-0.6952+0.292j),(-0.3099-0.2022j),(7.2906+9.8683j),(24.5662-11.5108j),7.2906,9.8683,24.5662,-11.5108,20.648,15.2545,29.9597,32.131,35.0473,106.7096,3.7361,32.2344,3.5283,6.6664,3.3052,35.1723,3.49,5.9769,5.9778,5.2883,136.3636,34.0909,72.5965,18.1491,4.742414104091351e-12,6.779442144929933e-13
BFP450_w_noise_VCE_4.0V_IC_70mA.s2p,4.0,70.0,1.104,0.618,True,14.43,(-0.6957+0.2908j),(-0.2831-0.2218j),(7.2869+9.8234j),(25.6756-13.0826j),7.2869,9.8234,25.6756,-13.0826,20.5297,15.2287,32.3416,32.0388,35.8299,98.1289,3.7511,32.1415,3.5296,6.6903,3.202,35.9606,3.4802,5.8118,6.0018,5.1232,136.3636,34.0909,72.5832,18.1458,4.750448557714153e-12,7.372257912894317e-13
BFP450_w_noise_VCE_4.0V_IC_80mA.s2p,4.0,80.0,1.104,0.624,True,14.43,(-0.6897+0.295j),(-0.2756-0.2109j),(7.432+10.028j),(26.3103-12.6179j),7.432,10.028,26.3103,-12.6179,20.9628,15.536,32.3616,32.375,36.27,104.2577,3.697,32.4802,3.525,6.6037,3.146,36.4039,3.4748,5.7222,5.9152,5.0336,136.3636,34.0909,72.6305,18.1576,4.656485321244949e-12,6.938878946194048e-13
BFP450_w_noise_VCE_1.0V_IC_80mA.s2p,1.0,80.0,1.106,0.692,True,12.88,(-0.6858+0.3097j),(-0.4032-0.0811j),(7.3827+10.5421j),(21.0292-4.1054j),7.3827,10.5421,21.0292,-4.1054,22.4363,15.7123,21.8307,33.4935,32.4262,256.116,3.5251,33.6071,3.5101,6.3287,3.6889,32.5318,3.5243,6.5907,5.6402,5.9022,136.3636,34.0909,72.7845,18.1961,4.604237186844798e-12,2.824624621299002e-13
BFP450_w_noise_VCE_2.5V_IC_80mA.s2p,2.5,80.0,1.106,0.643,True,14.03,(-0.6879+0.2953j),(-0.3179-0.1745j),(7.4864+10.0578j),(24.5714-9.8712j),7.4864,10.0578,24.5714,-9.8712,20.9988,15.6302,28.537,32.4028,35.051,124.4603,3.6926,32.5082,3.5246,6.5967,3.3047,35.1761,3.49,5.9761,5.9082,5.2875,136.3636,34.0909,72.6346,18.1587,4.6284216421326354e-12,5.812548736493605e-13
BFP450_w_noise_VCE_3.0V_IC_80mA.s2p,3.0,80.0,1.104,0.636,True,14.21,(-0.6897+0.2958j),(-0.3008-0.1915j),(7.4223+10.054j),(25.2441-11.0782j),7.4223,10.054,25.2441,-11.0782,21.0411,15.5335,30.1057,32.4354,35.5275,113.9358,3.6874,32.5411,3.5242,6.5884,3.2413,35.656,3.484,5.8747,5.8998,5.1861,136.3636,34.0909,72.6387,18.1597,4.6572347475367125e-12,6.349466625139905e-13
BFP450_w_noise_VCE_2.0V_IC_80mA.s2p,2.0,80.0,1.106,0.654,True,13.81,(-0.6862+0.2982j),(-0.3369-0.1544j),(7.505+10.1705j),(23.8142-8.5231j),7.505,10.1705,23.8142,-8.5231,21.2877,15.7086,26.8646,32.6249,34.5067,139.7041,3.6575,32.732,3.5216,6.5406,3.3794,34.6278,3.4969,6.0956,5.852,5.407,136.3636,34.0909,72.6655,18.1664,4.60532166780372e-12,5.178313016644573e-13
BFP450_w_noise_VCE_3.0V_IC_90mA.s2p,3.0,90.0,1.103,0.64,True,14.2,(-0.6862+0.2999j),(-0.2933-0.1855j),(7.4856+10.2248j),(25.7626-10.8683j),7.4856,10.2248,25.7626,-10.8683,21.452,15.705,30.3475,32.7505,35.8905,118.5216,3.6379,32.8585,3.5199,6.5092,3.1942,36.0217,3.4795,5.7993,5.8206,5.1107,136.3636,34.0909,72.6831,18.1708,4.60637732893101e-12,6.103795084681739e-13
BFP450_w_noise_VCE_4.0V_IC_90mA.s2p,4.0,90.0,1.103,0.628,True,14.43,(-0.6873+0.2982j),(-0.2684-0.2048j),(7.4722+10.1576j),(26.8357-12.4075j),7.4722,10.1576,26.8357,-12.4075,21.2803,15.6543,32.5723,32.6192,36.6304,108.1432,3.6584,32.7263,3.5217,6.542,3.1012,36.7669,3.4704,5.6505,5.8534,4.9619,136.3636,34.0909,72.6645,18.1661,4.621296126358989e-12,6.689570490873354e-13
BFP450_w_noise_VCE_2.5V_IC_90mA.s2p,2.5,90.0,1.106,0.647,True,14.03,(-0.6841+0.2996j),(-0.3103-0.1677j),(7.5582+10.2399j),(25.0875-9.6079j),7.5582,10.2399,25.0875,-9.6079,21.4313,15.8187,28.7671,32.7348,35.4172,130.5569,3.6404,32.8427,3.5202,6.5131,3.2559,35.5449,3.4854,5.8979,5.8246,5.2094,136.3636,34.0909,72.68,18.17,4.573268090984817e-12,5.541120840864138e-13
